Unnamed: 0,fullDataset.ID,fullDataset.Distrito,fullDataset.Precio_m2,fullDataset.Precio,fullDataset.Tipo,fullDataset.Habitaciones,fullDataset.Aseos,fullDataset.Superficie,fullDataset.Planta,fullDataset.Parking,fullDataset.COLEGIO.DE.EDUCACIÓN.INFANTIL.Y.PRIMARIA
1,7,Arganzuela,3888,590000,Piso,4.0,1.0,135.0,4.0,0,9
2,7,Arganzuela,3888,349000,Piso,3.0,1.0,92.0,2.0,0,9
3,7,Arganzuela,3888,425000,Ático,2.0,1.0,102.0,4.0,1,9
4,7,Arganzuela,3888,260000,Piso,2.0,1.0,60.0,2.0,0,9
5,7,Arganzuela,3888,135000,Piso,2.0,1.0,50.0,3.0,0,9
6,7,Arganzuela,3888,220000,Apartamento,1.0,1.0,45.0,,0,9
7,7,Arganzuela,3888,245000,Piso,3.0,1.0,64.0,4.0,0,9
8,7,Arganzuela,3888,450000,Casa o chalet,4.0,2.0,120.0,6.0,0,9
9,7,Arganzuela,3888,795000,Casa adosada,4.0,4.0,260.0,,1,9
10,7,Arganzuela,3888,590000,Piso,3.0,2.0,112.0,,1,9
11,7,Arganzuela,3888,144600,Piso,2.0,1.0,48.0,,0,9
12,7,Arganzuela,3888,550000,Piso,2.0,2.0,68.0,1.0,0,9
13,7,Arganzuela,3888,375000,Piso,2.0,2.0,55.0,,0,9
14,7,Arganzuela,3888,152000,Piso,2.0,1.0,36.0,3.0,0,9
15,7,Arganzuela,3888,830000,Piso,4.0,3.0,240.0,,1,9
16,7,Arganzuela,3888,390000,Piso,2.0,2.0,88.0,,1,9
17,7,Arganzuela,3888,545000,Piso,4.0,2.0,130.0,12.0,1,9
18,7,Arganzuela,3888,484500,Piso,4.0,2.0,147.0,1.0,0,9
19,7,Arganzuela,3888,484500,Piso,4.0,2.0,147.0,1.0,0,9
20,7,Arganzuela,3888,1050000,Piso,4.0,2.0,298.0,6.0,1,9
21,7,Arganzuela,3888,212000,Piso,2.0,1.0,62.0,2.0,0,9
22,7,Arganzuela,3888,484500,Piso,4.0,2.0,147.0,1.0,0,9
23,7,Arganzuela,3888,484500,Piso,4.0,2.0,147.0,1.0,0,9
24,7,Arganzuela,3888,197000,Piso,2.0,1.0,54.0,2.0,0,9
25,7,Arganzuela,3888,2200000,Piso,3.0,4.0,250.0,3.0,0,9
26,7,Arganzuela,3888,259000,Ático,2.0,2.0,56.0,,0,9
27,7,Arganzuela,3888,256000,Apartamento,2.0,1.0,69.0,,0,9
28,7,Arganzuela,3888,154500,Piso,1.0,1.0,39.0,1.0,0,9
29,7,Arganzuela,3888,865000,Piso,5.0,3.0,220.0,2.0,1,9
30,7,Arganzuela,3888,212000,Piso,2.0,1.0,62.0,2.0,0,9
31,7,Arganzuela,3888,155000,Piso,2.0,1.0,40.0,1.0,0,9
32,7,Arganzuela,3888,449000,Piso,4.0,2.0,130.0,6.0,0,9
33,7,Arganzuela,3888,145000,Piso,2.0,1.0,37.0,,0,9
34,7,Arganzuela,3888,320000,Piso,4.0,1.0,89.0,1.0,0,9
35,7,Arganzuela,3888,2000000,Piso,5.0,4.0,241.0,5.0,1,9
36,7,Arganzuela,3888,160000,Piso,3.0,1.0,71.0,,0,9
37,7,Arganzuela,3888,297000,Piso,1.0,1.0,50.0,,0,9
38,7,Arganzuela,3888,850000,Apartamento,3.0,2.0,160.0,,0,9
39,7,Arganzuela,3888,320000,Piso,4.0,1.0,89.0,1.0,0,9
40,7,Arganzuela,3888,390000,Piso,2.0,2.0,50.0,3.0,0,9
41,7,Arganzuela,3888,220000,Piso,4.0,2.0,119.0,1.0,1,9
42,7,Arganzuela,3888,299000,Piso,2.0,1.0,56.0,6.0,0,9
43,7,Arganzuela,3888,140000,Piso,2.0,1.0,42.0,,0,9
44,7,Arganzuela,3888,79000,Planta baja,1.0,1.0,30.0,,0,9
45,7,Arganzuela,3888,530000,Piso,2.0,2.0,90.0,,0,9
46,7,Arganzuela,3888,251500,Piso,2.0,3.0,169.0,1.0,0,9
47,7,Arganzuela,3888,889000,Casa o chalet,7.0,5.0,447.0,,1,9
48,7,Arganzuela,3888,320000,Piso,4.0,1.0,89.0,1.0,0,9
49,7,Arganzuela,3888,168500,Piso,2.0,1.0,58.0,,0,9
50,7,Arganzuela,3888,156000,Piso,3.0,1.0,75.0,1.0,0,9
51,7,Arganzuela,3888,422000,Piso,2.0,2.0,83.0,4.0,1,9
52,7,Arganzuela,3888,129000,Piso,1.0,1.0,64.0,,0,9
53,7,Arganzuela,3888,850000,Piso,1.0,1.0,110.0,1.0,0,9
54,7,Arganzuela,3888,240000,Ático,2.0,1.0,35.0,6.0,0,9
55,7,Arganzuela,3888,81200,Piso,2.0,1.0,61.0,,0,9
56,7,Arganzuela,3888,143685,Piso,1.0,1.0,44.0,3.0,0,9
57,7,Arganzuela,3888,169000,Piso,1.0,1.0,49.0,4.0,0,9
58,7,Arganzuela,3888,395000,Piso,3.0,1.0,75.0,3.0,0,9
59,7,Arganzuela,3888,259000,Piso,2.0,2.0,92.0,5.0,1,9
60,7,Arganzuela,3888,1550000,Piso,3.0,4.0,211.0,1.0,0,9
61,7,Arganzuela,3888,156000,Piso,3.0,1.0,75.0,1.0,0,9
62,7,Arganzuela,3888,1090000,Piso,3.0,3.0,248.0,1.0,0,9
63,7,Arganzuela,3888,94990,Piso,2.0,1.0,75.0,3.0,0,9
64,7,Arganzuela,3888,450000,Apartamento,2.0,1.0,92.0,,0,9
65,7,Arganzuela,3888,465000,Piso,5.0,2.0,136.0,3.0,0,9
66,7,Arganzuela,3888,212000,Piso,2.0,1.0,62.0,2.0,0,9
67,7,Arganzuela,3888,240000,Piso,1.0,1.0,51.0,2.0,0,9
68,7,Arganzuela,3888,109900,Piso,3.0,1.0,62.0,1.0,0,9
69,7,Arganzuela,3888,875000,Piso,4.0,4.0,185.0,,1,9
70,7,Arganzuela,3888,484500,Piso,4.0,2.0,147.0,1.0,0,9
71,7,Arganzuela,3888,1950000,Piso,5.0,6.0,314.0,2.0,0,9
72,7,Arganzuela,3888,484500,Piso,4.0,2.0,147.0,1.0,0,9
73,7,Arganzuela,3888,700000,Piso,4.0,3.0,144.0,1.0,1,9
74,7,Arganzuela,3888,840000,Ático,4.0,2.0,167.0,5.0,1,9
75,7,Arganzuela,3888,2950000,Casa o chalet,4.0,4.0,625.0,,1,9
76,7,Arganzuela,3888,140000,Piso,3.0,1.0,81.0,4.0,0,9
77,7,Arganzuela,3888,484500,Piso,4.0,2.0,147.0,1.0,0,9
78,7,Arganzuela,3888,279000,Piso,3.0,1.0,85.0,2.0,0,9
79,7,Arganzuela,3888,352000,Piso,2.0,1.0,70.0,7.0,0,9
80,7,Arganzuela,3888,768000,Ático,3.0,2.0,334.0,5.0,1,9
81,7,Arganzuela,3888,320000,Piso,4.0,1.0,89.0,1.0,0,9
82,7,Arganzuela,3888,212000,Piso,2.0,1.0,62.0,2.0,0,9
83,7,Arganzuela,3888,635000,Piso,,,120.0,2.0,0,9
84,7,Arganzuela,3888,795000,Piso,4.0,3.0,177.0,,0,9
85,7,Arganzuela,3888,215000,Loft,1.0,1.0,65.0,1.0,1,9
